FECHA 2019-01-11 12:29:31.495000 | PLC1: 0.0000 | BR20: 0.5490 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 0.9230
FECHA 2019-01-11 12:29:32.520000 | PLC1: 0.0000 | BR20: 0.5350 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8130
FECHA 2019-01-11 12:29:33.435000 | PLC1: 0.0000 | BR20: 0.5500 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8330
FECHA 2019-01-11 12:29:34.370000 | PLC1: 0.0000 | BR20: 0.5300 | PLC2: 0.0000 | Mqtt: 0.0130 | TOTAL: 0.8490
FECHA 2019-01-11 12:29:35.320000 | PLC1: 0.0000 | BR20: 0.5530 | PLC2: 0.0000 | Mqtt: 0.0180 | TOTAL: 0.9150
FECHA 2019-01-11 12:29:36.336000 | PLC1: 0.0000 | BR20: 0.5600 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8640
FECHA 2019-01-11 12:29:37.302000 | PLC1: 0.0000 | BR20: 0.4750 | PLC2: 0.0000 | Mqtt: 0.0950 | TOTAL: 0.8690
FECHA 2019-01-11 12:29:38.272000 | PLC1: 0.0000 | BR20: 0.5380 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8640
FECHA 2019-01-11 12:29:39.238000 | PLC1: 0.0000 | BR20: 0.5010 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 0.7990
FECHA 2019-01-11 12:29:40.138000 | PLC1: 0.0000 | BR20: 0.5040 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8120
FECHA 2019-01-11 12:29:41.052000 | PLC1: 0.0000 | BR20: 0.5020 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8600
FECHA 2019-01-11 12:29:42.014000 | PLC1: 0.0000 | BR20: 0.5080 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 0.8680
FECHA 2019-01-11 12:29:42.984000 | PLC1: 0.0000 | BR20: 0.5820 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.9510
FECHA 2019-01-11 12:29:44.036000 | PLC1: 0.0000 | BR20: 0.4960 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8450
FECHA 2019-01-11 12:29:44.983000 | PLC1: 0.0000 | BR20: 0.5380 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8850
FECHA 2019-01-11 12:29:45.969000 | PLC1: 0.0000 | BR20: 0.5040 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8210
FECHA 2019-01-11 12:29:46.891000 | PLC1: 0.0000 | BR20: 0.5410 | PLC2: 0.0000 | Mqtt: 0.7290 | TOTAL: 1.5440
FECHA 2019-01-11 12:29:48.537000 | PLC1: 0.0000 | BR20: 0.4910 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.7980
FECHA 2019-01-11 12:29:49.437000 | PLC1: 0.0000 | BR20: 0.5140 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8740
FECHA 2019-01-11 12:29:50.412000 | PLC1: 0.0000 | BR20: 0.5050 | PLC2: 0.0000 | Mqtt: 0.0280 | TOTAL: 0.8440
FECHA 2019-01-11 12:29:51.358000 | PLC1: 0.0000 | BR20: 0.5080 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 0.8030
FECHA 2019-01-11 12:29:52.262000 | PLC1: 0.0000 | BR20: 0.5110 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8520
FECHA 2019-01-11 12:29:53.216000 | PLC1: 0.0000 | BR20: 0.5430 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.9190
FECHA 2019-01-11 12:29:54.236000 | PLC1: 0.0000 | BR20: 0.5220 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8370
FECHA 2019-01-11 12:29:55.175000 | PLC1: 0.0000 | BR20: 0.4980 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.7950
FECHA 2019-01-11 12:29:56.071000 | PLC1: 0.0000 | BR20: 0.5020 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8970
FECHA 2019-01-11 12:29:57.070000 | PLC1: 0.0000 | BR20: 0.6510 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 1.2150
FECHA 2019-01-11 12:29:58.385000 | PLC1: 0.0000 | BR20: 0.6210 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.9510
FECHA 2019-01-11 12:29:59.438000 | PLC1: 0.0000 | BR20: 0.5390 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8850
FECHA 2019-01-11 12:30:00.425000 | PLC1: 0.0000 | BR20: 0.5260 | PLC2: 0.0000 | Mqtt: 0.0260 | TOTAL: 0.8740
FECHA 2019-01-11 12:30:01.400000 | PLC1: 0.0000 | BR20: 0.5850 | PLC2: 0.0000 | Mqtt: 0.0150 | TOTAL: 0.9210
FECHA 2019-01-11 12:30:02.423000 | PLC1: 0.0000 | BR20: 0.5830 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.9120
FECHA 2019-01-11 12:30:03.437000 | PLC1: 0.0000 | BR20: 0.5740 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.9320
FECHA 2019-01-11 12:30:04.471000 | PLC1: 0.0000 | BR20: 0.5360 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8440
FECHA 2019-01-11 12:30:05.416000 | PLC1: 0.0000 | BR20: 0.5270 | PLC2: 0.0000 | Mqtt: 0.0160 | TOTAL: 0.8170
FECHA 2019-01-11 12:30:06.335000 | PLC1: 0.0000 | BR20: 0.5710 | PLC2: 0.0000 | Mqtt: 0.0140 | TOTAL: 0.9300
